Plot_ID,Mean,Mode
18BYD20001,0.774,0.852
18BYD20002,0.758,0.851
18BYD20003,0.74,0.854
18BYD20004,0.794,0.876
18BYD20005,0.796,0.89
18BYD20006,0.797,0.887
18BYD20007,0.792,0.859
18BYD20008,0.768,0.861
18BYD20009,0.78,0.877
18BYD20010,0.775,0.849
18BYD20011,0.772,0.87
18BYD20012,0.745,0.866
18BYD20013,0.748,0.842
18BYD20014,0.757,0.854
18BYD20015,0.77,0.88
18BYD20016,0.797,0.873
18BYD20017,0.766,0.881
18BYD20018,0.757,0.88
18BYD20019,0.768,0.861
18BYD20020,0.812,0.873
18BYD20021,0.832,0.885
18BYD20022,0.799,0.871
18BYD20023,0.825,0.895
18BYD20024,0.818,0.877
18BYD20025,0.751,0.875
18BYD20026,0.832,0.892
18BYD20027,0.824,0.903
18BYD20028,0.812,0.874
18BYD20029,0.798,0.894
18BYD20030,0.771,0.881
18BYD20031,0.822,0.893
18BYD20032,0.849,0.907
18BYD20033,0.817,0.9
18BYD20034,0.833,0.888
18BYD20035,0.844,0.873
18BYD20036,0.77,0.867
18BYD20037,0.845,0.892
18BYD20038,0.853,0.88
18BYD20039,0.827,0.886
18BYD20040,0.809,0.857
18BYD20041,0.838,0.896
18BYD20042,0.836,0.891
18BYD20043,0.835,0.879
18BYD20044,0.815,0.885
18BYD20045,0.838,0.876
18BYD20046,0.87,0.903
18BYD20047,0.839,0.905
18BYD20048,0.801,0.907
18BYD20049,0.833,0.903
18BYD20050,0.851,0.904
18BYD20051,0.808,0.905
18BYD20052,0.843,0.906
18BYD20053,0.836,0.912
18BYD20054,0.859,0.906
18BYD20055,0.891,0.912
18BYD20056,0.856,0.899
18BYD20057,0.869,0.887
18BYD20058,0.853,0.901
18BYD20059,0.868,0.91
18BYD20060,0.864,0.896
18BYD20061,0.862,0.911
18BYD20062,0.838,0.893
18BYD20063,0.869,0.898
18BYD20064,0.854,0.883
18BYD20065,0.842,0.881
18BYD20066,0.86,0.887
18BYD20067,0.845,0.886
18BYD20068,0.869,0.894
18BYD20069,0.861,0.884
18BYD20070,0.86,0.895
18BYD20071,0.846,0.893
18BYD20072,0.868,0.901
18BYD20073,0.845,0.883
18BYD20074,0.855,0.886
18BYD20075,0.841,0.885
18BYD20076,0.829,0.886
18BYD20077,0.857,0.886
18BYD20078,0.844,0.904
18BYD20079,0.862,0.901
18BYD20080,0.88,0.894
18BYD20081,0.88,0.902
18BYD20082,0.855,0.877
18BYD20083,0.826,0.878
18BYD20084,0.818,0.878
18BYD20085,0.838,0.877
18BYD20086,0.857,0.883
18BYD20087,0.832,0.885
18BYD20088,0.832,0.874
18BYD20089,0.838,0.88
18BYD20090,0.835,0.871
18BYD20091,0.856,0.9
18BYD20092,0.876,0.893
18BYD20093,0.845,0.885
18BYD20094,0.837,0.885
18BYD20095,0.845,0.875
18BYD20096,0.828,0.872
18BYD20097,0.815,0.874
18BYD20098,0.805,0.882
18BYD20099,0.824,0.848
18BYD20100,0.889,0.925
18BYD20101,0.834,0.905
18BYD20102,0.794,0.893
18BYD20103,0.798,0.89
18BYD20104,0.862,0.915
18BYD20105,0.87,0.913
18BYD20106,0.875,0.923
18BYD20107,0.895,0.907
18BYD20108,0.898,0.916
18BYD20109,0.852,0.888
18BYD20110,0.85,0.896
18BYD20111,0.78,0.877
18BYD20112,0.803,0.886
18BYD20113,0.815,0.885
18BYD20114,0.764,0.88
18BYD20115,0.796,0.86
18BYD20116,0.802,0.889
18BYD20117,0.817,0.901
18BYD20118,0.852,0.878
18BYD20119,0.811,0.893
18BYD20120,0.791,0.865
18BYD20121,0.817,0.887
18BYD20122,0.861,0.882
18BYD20123,0.803,0.872
18BYD20124,0.823,0.881
18BYD20125,0.814,0.866
18BYD20126,0.853,0.9
18BYD20127,0.847,0.885
18BYD20128,0.829,0.87
18BYD20129,0.81,0.874
18BYD20130,0.814,0.884
18BYD20131,0.819,0.882
18BYD20132,0.839,0.872
18BYD20133,0.793,0.868
18BYD20134,0.817,0.872
18BYD20135,0.81,0.888
18BYD20136,0.818,0.879
18BYD20137,0.81,0.884
18BYD20138,0.789,0.868
18BYD20139,0.824,0.866
18BYD20140,0.846,0.883
18BYD20141,0.79,0.88
18BYD20142,0.83,0.873
18BYD20143,0.816,0.857
18BYD20144,0.859,0.882
18BYD20145,0.825,0.883
18BYD20146,0.837,0.887
18BYD20147,0.813,0.883
18BYD20148,0.775,0.848
18BYD20149,0.796,0.877
18BYD20150,0.81,0.873
18BYD20151,0.772,0.836
18BYD20152,0.75,0.854
18BYD20153,0.812,0.875
18BYD20154,0.819,0.89
18BYD20155,0.79,0.853
18BYD20156,0.756,0.86
18BYD20157,0.805,0.868
18BYD20158,0.845,0.874
18BYD20159,0.772,0.872
18BYD20160,0.815,0.856
18BYD20161,0.782,0.851
18BYD20162,0.852,0.874
18BYD20163,0.855,0.881
18BYD20164,0.818,0.89
18BYD20165,0.809,0.879
18BYD20166,0.835,0.896
18BYD20167,0.849,0.886
18BYD20168,0.815,0.875
18BYD20169,0.755,0.891
18BYD20170,0.788,0.874
18BYD20171,0.786,0.891
18BYD20172,0.804,0.862
18BYD20173,0.789,0.858
18BYD20174,0.747,0.867
18BYD20175,0.778,0.866
18BYD20176,0.763,0.86
18BYD20177,0.73,0.845
18BYD20178,0.725,0.834
18BYD20179,0.748,0.835
18BYD20180,0.791,0.833
18BYD20181,0.761,0.866
18BYD20182,0.832,0.885
18BYD20183,0.839,0.894
18BYD20184,0.856,0.886
18BYD20185,0.883,0.899
18BYD20186,0.863,0.89
18BYD20187,0.871,0.894
18BYD20188,0.843,0.885
18BYD20189,0.854,0.902
18BYD20190,0.852,0.886
18BYD20191,0.841,0.894
18BYD20192,0.816,0.884
18BYD20193,0.837,0.896
18BYD20194,0.843,0.889
18BYD20195,0.844,0.888
18BYD20196,0.792,0.871
18BYD20197,0.801,0.885
18BYD20198,0.755,0.861
18BYD20199,0.841,0.891
18BYD20200,0.82,0.896
18BYD20201,0.811,0.873
18BYD20202,0.788,0.866
18BYD20203,0.829,0.886
18BYD20204,0.836,0.879
18BYD20205,0.832,0.902
18BYD20206,0.838,0.892
18BYD20207,0.834,0.904
18BYD20208,0.83,0.893
18BYD20209,0.828,0.882
18BYD20210,0.835,0.889
18BYD20211,0.85,0.883
18BYD20212,0.867,0.89
18BYD20213,0.837,0.904
18BYD20214,0.85,0.903
18BYD20215,0.86,0.887
18BYD20216,0.809,0.889
18BYD20217,0.848,0.904
18BYD20218,0.868,0.906
18BYD20219,0.887,0.909
18BYD20220,0.875,0.913
18BYD20221,0.85,0.897
18BYD20222,0.874,0.902
18BYD20223,0.856,0.904
18BYD20224,0.855,0.913
18BYD20225,0.852,0.875
18BYD20226,0.859,0.907
18BYD20227,0.874,0.911
18BYD20228,0.859,0.916
18BYD20229,0.856,0.9
18BYD20230,0.865,0.916
18BYD20231,0.859,0.918
18BYD20232,0.874,0.906
18BYD20233,0.854,0.917
18BYD20234,0.86,0.916
18BYD20235,0.866,0.887
18BYD20236,0.866,0.899
18BYD20237,0.856,0.903
18BYD20238,0.853,0.882
18BYD20239,0.865,0.894
18BYD20240,0.873,0.9
18BYD20241,0.833,0.9
18BYD20242,0.852,0.909
18BYD20243,0.868,0.891
18BYD20244,0.824,0.89
18BYD20245,0.835,0.881
18BYD20246,0.833,0.886
18BYD20247,0.835,0.882
18BYD20248,0.859,0.886
18BYD20249,0.861,0.887
18BYD20250,0.842,0.889
18BYD20251,0.845,0.885
18BYD20252,0.871,0.903
