Plot_ID,Mean,Mode
18BYD20001,0.798,0.864
18BYD20002,0.789,0.862
18BYD20003,0.782,0.842
18BYD20004,0.829,0.876
18BYD20005,0.829,0.887
18BYD20006,0.831,0.899
18BYD20007,0.826,0.878
18BYD20008,0.801,0.87
18BYD20009,0.812,0.875
18BYD20010,0.784,0.841
18BYD20011,0.795,0.869
18BYD20012,0.773,0.86
18BYD20013,0.77,0.847
18BYD20014,0.785,0.855
18BYD20015,0.808,0.879
18BYD20016,0.82,0.865
18BYD20017,0.789,0.873
18BYD20018,0.782,0.883
18BYD20019,0.79,0.854
18BYD20020,0.841,0.879
18BYD20021,0.858,0.888
18BYD20022,0.841,0.89
18BYD20023,0.859,0.892
18BYD20024,0.843,0.884
18BYD20025,0.774,0.887
18BYD20026,0.849,0.896
18BYD20027,0.848,0.885
18BYD20028,0.83,0.888
18BYD20029,0.83,0.878
18BYD20030,0.798,0.877
18BYD20031,0.848,0.905
18BYD20032,0.862,0.906
18BYD20033,0.847,0.892
18BYD20034,0.855,0.885
18BYD20035,0.869,0.891
18BYD20036,0.836,0.897
18BYD20037,0.877,0.907
18BYD20038,0.877,0.899
18BYD20039,0.858,0.898
18BYD20040,0.839,0.877
18BYD20041,0.878,0.908
18BYD20042,0.867,0.913
18BYD20043,0.858,0.892
18BYD20044,0.846,0.896
18BYD20045,0.851,0.889
18BYD20046,0.884,0.907
18BYD20047,0.856,0.911
18BYD20048,0.834,0.893
18BYD20049,0.857,0.908
18BYD20050,0.87,0.916
18BYD20051,0.832,0.894
18BYD20052,0.862,0.897
18BYD20053,0.86,0.911
18BYD20054,0.872,0.904
18BYD20055,0.902,0.92
18BYD20056,0.866,0.904
18BYD20057,0.879,0.9
18BYD20058,0.878,0.907
18BYD20059,0.888,0.92
18BYD20060,0.886,0.907
18BYD20061,0.882,0.917
18BYD20062,0.854,0.9
18BYD20063,0.876,0.898
18BYD20064,0.885,0.909
18BYD20065,0.876,0.911
18BYD20066,0.891,0.914
18BYD20067,0.885,0.914
18BYD20068,0.903,0.919
18BYD20069,0.892,0.91
18BYD20070,0.901,0.924
18BYD20071,0.884,0.921
18BYD20072,0.909,0.93
18BYD20073,0.893,0.911
18BYD20074,0.896,0.919
18BYD20075,0.885,0.908
18BYD20076,0.868,0.905
18BYD20077,0.889,0.915
18BYD20078,0.889,0.919
18BYD20079,0.892,0.919
18BYD20080,0.905,0.922
18BYD20081,0.902,0.925
18BYD20082,0.895,0.923
18BYD20083,0.865,0.904
18BYD20084,0.856,0.9
18BYD20085,0.871,0.909
18BYD20086,0.881,0.902
18BYD20087,0.863,0.904
18BYD20088,0.868,0.898
18BYD20089,0.88,0.916
18BYD20090,0.875,0.909
18BYD20091,0.881,0.903
18BYD20092,0.902,0.914
18BYD20093,0.88,0.909
18BYD20094,0.877,0.913
18BYD20095,0.89,0.915
18BYD20096,0.873,0.905
18BYD20097,0.854,0.888
18BYD20098,0.842,0.898
18BYD20099,0.857,0.877
18BYD20100,0.891,0.915
18BYD20101,0.845,0.899
18BYD20102,0.82,0.868
18BYD20103,0.829,0.893
18BYD20104,0.882,0.915
18BYD20105,0.882,0.918
18BYD20106,0.88,0.905
18BYD20107,0.892,0.908
18BYD20108,0.898,0.922
18BYD20109,0.873,0.911
18BYD20110,0.877,0.91
18BYD20111,0.81,0.861
18BYD20112,0.833,0.883
18BYD20113,0.839,0.897
18BYD20114,0.806,0.879
18BYD20115,0.82,0.865
18BYD20116,0.83,0.899
18BYD20117,0.852,0.897
18BYD20118,0.872,0.893
18BYD20119,0.829,0.885
18BYD20120,0.82,0.868
18BYD20121,0.834,0.896
18BYD20122,0.875,0.901
18BYD20123,0.832,0.88
18BYD20124,0.845,0.898
18BYD20125,0.846,0.884
18BYD20126,0.884,0.904
18BYD20127,0.884,0.91
18BYD20128,0.86,0.885
18BYD20129,0.845,0.889
18BYD20130,0.848,0.894
18BYD20131,0.849,0.89
18BYD20132,0.863,0.894
18BYD20133,0.825,0.877
18BYD20134,0.843,0.888
18BYD20135,0.851,0.901
18BYD20136,0.847,0.888
18BYD20137,0.825,0.907
