Plot_ID,Mean,Mode
18BYD20001,0.78,0.872
18BYD20002,0.741,0.854
18BYD20003,0.717,0.851
18BYD20004,0.776,0.878
18BYD20005,0.793,0.882
18BYD20006,0.792,0.889
18BYD20007,0.794,0.869
18BYD20008,0.779,0.884
18BYD20009,0.788,0.886
18BYD20010,0.8,0.893
18BYD20011,0.787,0.876
18BYD20012,0.764,0.867
18BYD20013,0.758,0.862
18BYD20014,0.769,0.872
18BYD20015,0.754,0.871
18BYD20016,0.781,0.847
18BYD20017,0.756,0.887
18BYD20018,0.755,0.885
18BYD20019,0.811,0.921
18BYD20020,0.827,0.906
18BYD20021,0.845,0.895
18BYD20022,0.801,0.891
18BYD20023,0.83,0.912
18BYD20024,0.829,0.905
18BYD20025,0.763,0.911
18BYD20026,0.839,0.907
18BYD20027,0.824,0.904
18BYD20028,0.826,0.904
18BYD20029,0.807,0.904
18BYD20030,0.797,0.904
18BYD20031,0.833,0.917
18BYD20032,0.853,0.912
18BYD20033,0.81,0.9
18BYD20034,0.828,0.898
18BYD20035,0.849,0.889
18BYD20036,0.802,0.901
18BYD20037,0.847,0.913
18BYD20038,0.854,0.897
18BYD20039,0.826,0.884
18BYD20040,0.814,0.882
18BYD20041,0.831,0.906
18BYD20042,0.841,0.906
18BYD20043,0.839,0.899
18BYD20044,0.821,0.903
18BYD20045,0.852,0.908
18BYD20046,0.87,0.923
18BYD20047,0.838,0.915
18BYD20048,0.808,0.907
18BYD20049,0.841,0.915
18BYD20050,0.851,0.912
18BYD20051,0.811,0.913
18BYD20052,0.838,0.908
18BYD20053,0.822,0.9
18BYD20054,0.864,0.926
18BYD20055,0.897,0.92
18BYD20056,0.857,0.904
18BYD20057,0.87,0.905
18BYD20058,0.855,0.907
18BYD20059,0.873,0.916
18BYD20060,0.868,0.91
18BYD20061,0.858,0.912
18BYD20062,0.852,0.917
18BYD20063,0.884,0.917
18BYD20064,0.874,0.902
18BYD20065,0.861,0.903
18BYD20066,0.881,0.908
18BYD20067,0.863,0.912
18BYD20068,0.884,0.921
