Plot_ID,Mean,Mode
18BYD20001,0.652,0.715
18BYD20002,0.671,0.725
18BYD20003,0.659,0.678
18BYD20004,0.739,0.81
18BYD20005,0.675,0.703
18BYD20006,0.745,0.814
18BYD20007,0.751,0.804
18BYD20008,0.711,0.754
18BYD20009,0.696,0.757
18BYD20010,0.65,0.699
18BYD20011,0.705,0.717
18BYD20012,0.686,0.757
18BYD20013,0.665,0.717
18BYD20014,0.724,0.786
18BYD20015,0.743,0.785
18BYD20016,0.749,0.79
18BYD20017,0.678,0.734
18BYD20018,0.629,0.674
18BYD20019,0.716,0.761
18BYD20020,0.759,0.78
18BYD20021,0.815,0.831
18BYD20022,0.755,0.798
18BYD20023,0.776,0.808
18BYD20024,0.798,0.832
18BYD20025,0.669,0.681
18BYD20026,0.783,0.807
18BYD20027,0.73,0.766
18BYD20028,0.79,0.805
18BYD20029,0.731,0.772
18BYD20030,0.719,0.767
18BYD20031,0.756,0.808
18BYD20032,0.801,0.827
18BYD20033,0.746,0.793
18BYD20034,0.782,0.817
18BYD20035,0.789,0.836
18BYD20036,0.699,0.746
18BYD20037,0.771,0.807
18BYD20038,0.806,0.814
18BYD20039,0.785,0.834
18BYD20040,0.756,0.796
18BYD20041,0.819,0.847
18BYD20042,0.809,0.835
18BYD20043,0.777,0.827
18BYD20044,0.728,0.75
18BYD20045,0.759,0.789
18BYD20046,0.81,0.843
18BYD20047,0.76,0.806
18BYD20048,0.74,0.789
18BYD20049,0.779,0.828
18BYD20050,0.765,0.804
18BYD20051,0.692,0.728
18BYD20052,0.738,0.782
18BYD20053,0.748,0.809
18BYD20054,0.771,0.818
18BYD20055,0.83,0.858
18BYD20056,0.783,0.811
18BYD20057,0.809,0.836
18BYD20058,0.793,0.837
18BYD20059,0.783,0.808
18BYD20060,0.851,0.876
18BYD20061,0.815,0.856
18BYD20062,0.746,0.765
18BYD20063,0.824,0.851
18BYD20064,0.841,0.866
18BYD20065,0.819,0.853
18BYD20066,0.818,0.855
18BYD20067,0.863,0.878
18BYD20068,0.852,0.869
18BYD20069,0.848,0.863
18BYD20070,0.836,0.866
18BYD20071,0.795,0.832
18BYD20072,0.837,0.858
18BYD20073,0.81,0.845
18BYD20074,0.86,0.875
18BYD20075,0.813,0.847
18BYD20076,0.818,0.851
18BYD20077,0.836,0.867
18BYD20078,0.859,0.88
18BYD20079,0.833,0.862
18BYD20080,0.88,0.895
18BYD20081,0.853,0.879
18BYD20082,0.858,0.876
18BYD20083,0.813,0.852
18BYD20084,0.812,0.835
18BYD20085,0.815,0.845
18BYD20086,0.845,0.865
18BYD20087,0.818,0.847
18BYD20088,0.827,0.848
18BYD20089,0.822,0.843
18BYD20090,0.863,0.88
18BYD20091,0.84,0.859
18BYD20092,0.854,0.863
18BYD20093,0.838,0.856
18BYD20094,0.819,0.859
18BYD20095,0.832,0.841
18BYD20096,0.818,0.844
18BYD20097,0.802,0.844
18BYD20098,0.802,0.833
18BYD20099,0.861,0.878
18BYD20100,0.814,0.843
18BYD20101,0.773,0.811
18BYD20102,0.733,0.771
18BYD20103,0.787,0.826
18BYD20104,0.792,0.808
18BYD20105,0.843,0.881
18BYD20106,0.843,0.857
18BYD20107,0.861,0.872
18BYD20108,0.874,0.887
18BYD20109,0.833,0.861
18BYD20110,0.832,0.869
18BYD20111,0.73,0.802
18BYD20112,0.738,0.766
18BYD20113,0.743,0.786
18BYD20114,0.791,0.826
18BYD20115,0.717,0.766
18BYD20116,0.754,0.816
18BYD20117,0.738,0.772
18BYD20118,0.767,0.8
18BYD20119,0.724,0.771
18BYD20120,0.732,0.78
18BYD20121,0.798,0.826
18BYD20122,0.872,0.891
18BYD20123,0.765,0.821
18BYD20124,0.818,0.845
18BYD20125,0.81,0.841
18BYD20126,0.832,0.855
18BYD20127,0.839,0.871
