Plot_ID,Median,Mode
18-OBR-YTBW-B5I-1206,84,52
18-OBR-YTBW-B5I-1207,48,38
18-OBR-YTBW-B5I-1208,60,43
18-OBR-YTBW-B5I-1209,65,43
18-OBR-YTBW-B5I-121,66,47
18-OBR-YTBW-B5I-1210,93,49
18-OBR-YTBW-B5I-1211,84,42
18-OBR-YTBW-B5I-1212,91,46
18-OBR-YTBW-B5I-1213,62,36
18-OBR-YTBW-B5I-1214,54,34
18-OBR-YTBW-B5I-1215,58,43
18-OBR-YTBW-B5I-1216,60,36
18-OBR-YTBW-B5I-1217,58,41
18-OBR-YTBW-B5I-1218,71,45
18-OBR-YTBW-B5I-1219,77,42
18-OBR-YTBW-B5I-122,81,56
18-OBR-YTBW-B5I-1220,58,43
18-OBR-YTBW-B5I-1221,57,41
18-OBR-YTBW-B5I-1222,71,50
18-OBR-YTBW-B5I-1223,76,48
18-OBR-YTBW-B5I-1224,60,46
18-OBR-YTBW-B5I-1225,70,49
18-OBR-YTBW-B5I-1226,71,41
18-OBR-YTBW-B5I-1227,77,39
18-OBR-YTBW-B5I-1228,77,46
18-OBR-YTBW-B5I-1229,59,39
18-OBR-YTBW-B5I-123,81,54
18-OBR-YTBW-B5I-1230,64,36
18-OBR-YTBW-B5I-1231,70,41
18-OBR-YTBW-B5I-1232,84,51
18-OBR-YTBW-B5I-1233,62,43
18-OBR-YTBW-B5I-1234,77,54
18-OBR-YTBW-B5I-1235,72,50
18-OBR-YTBW-B5I-1236,66,45
18-OBR-YTBW-B5I-1237,69,54
18-OBR-YTBW-B5I-1238,114,107
18-OBR-YTBW-B5I-1239,80,42
18-OBR-YTBW-B5I-124,63,52
18-OBR-YTBW-B5I-1240,79,47
18-OBR-YTBW-B5I-1241,68,44
18-OBR-YTBW-B5I-1242,80,49
18-OBR-YTBW-B5I-1243,76,44
18-OBR-YTBW-B5I-1244,59,39
18-OBR-YTBW-B5I-1245,67,41
18-OBR-YTBW-B5I-1246,79,43
18-OBR-YTBW-B5I-1247,58,33
18-OBR-YTBW-B5I-1248,67,39
18-OBR-YTBW-B5I-1249,60,42
18-OBR-YTBW-B5I-125,81,56
18-OBR-YTBW-B5I-1250,76,43
18-OBR-YTBW-B5I-1251,74,44
18-OBR-YTBW-B5I-1252,66,47
18-OBR-YTBW-B5I-1253,74,41
18-OBR-YTBW-B5I-1254,72,52
18-OBR-YTBW-B5I-1255,78,48
18-OBR-YTBW-B5I-1256,97,53
18-OBR-YTBW-B5I-1257,82,46
18-OBR-YTBW-B5I-1258,73,41
18-OBR-YTBW-B5I-1259,60,41
18-OBR-YTBW-B5I-126,82,60
18-OBR-YTBW-B5I-1260,60,41
18-OBR-YTBW-B5I-127,63,43
18-OBR-YTBW-B5I-128,60,52
18-OBR-YTBW-B5I-129,73,56
18-OBR-YTBW-B5I-130,77,52
18-OBR-YTBW-B5I-1301,48,40
18-OBR-YTBW-B5I-1302,44,39
18-OBR-YTBW-B5I-1303,50,35
18-OBR-YTBW-B5I-1304,57,46
18-OBR-YTBW-B5I-1305,60,39
18-OBR-YTBW-B5I-1306,57,49
18-OBR-YTBW-B5I-1307,68,50
18-OBR-YTBW-B5I-1308,72,48
18-OBR-YTBW-B5I-1309,64,49
18-OBR-YTBW-B5I-131,67,48
18-OBR-YTBW-B5I-1310,57,47
18-OBR-YTBW-B5I-1311,72,45
18-OBR-YTBW-B5I-1312,69,48
18-OBR-YTBW-B5I-1313,59,41
18-OBR-YTBW-B5I-1314,56,40
18-OBR-YTBW-B5I-1315,55,38
18-OBR-YTBW-B5I-1316,53,49
18-OBR-YTBW-B5I-1317,54,37
18-OBR-YTBW-B5I-1318,57,43
18-OBR-YTBW-B5I-1319,80,45
18-OBR-YTBW-B5I-132,78,57
18-OBR-YTBW-B5I-1320,68,44
18-OBR-YTBW-B5I-1321,42,36
18-OBR-YTBW-B5I-1322,62,41
18-OBR-YTBW-B5I-1323,67,42
18-OBR-YTBW-B5I-1324,60,40
18-OBR-YTBW-B5I-1325,60,43
18-OBR-YTBW-B5I-1326,56,43
18-OBR-YTBW-B5I-1327,60,42
18-OBR-YTBW-B5I-1328,58,38
18-OBR-YTBW-B5I-1329,58,42
18-OBR-YTBW-B5I-133,60,43
18-OBR-YTBW-B5I-1330,47,33
18-OBR-YTBW-B5I-1331,53,42
18-OBR-YTBW-B5I-1332,52,38
18-OBR-YTBW-B5I-1333,58,36
18-OBR-YTBW-B5I-1334,70,42
18-OBR-YTBW-B5I-1335,69,42
18-OBR-YTBW-B5I-1336,63,39
18-OBR-YTBW-B5I-1337,58,40
18-OBR-YTBW-B5I-1338,64,36
18-OBR-YTBW-B5I-1339,65,43
18-OBR-YTBW-B5I-134,74,50
18-OBR-YTBW-B5I-1340,66,43
18-OBR-YTBW-B5I-1341,62,43
18-OBR-YTBW-B5I-1342,71,41
18-OBR-YTBW-B5I-1343,45,36
18-OBR-YTBW-B5I-1344,51,44
18-OBR-YTBW-B5I-1345,54,41
18-OBR-YTBW-B5I-1346,50,39
18-OBR-YTBW-B5I-1347,55,43
18-OBR-YTBW-B5I-1348,54,41
18-OBR-YTBW-B5I-1349,62,36
18-OBR-YTBW-B5I-135,76,49
18-OBR-YTBW-B5I-1350,59,36
18-OBR-YTBW-B5I-1351,54,37
18-OBR-YTBW-B5I-1352,60,37
18-OBR-YTBW-B5I-1353,70,41
18-OBR-YTBW-B5I-1354,56,40
18-OBR-YTBW-B5I-1355,62,47
18-OBR-YTBW-B5I-1356,71,44
18-OBR-YTBW-B5I-1357,60,38
18-OBR-YTBW-B5I-1358,58,38
18-OBR-YTBW-B5I-1359,47,31
18-OBR-YTBW-B5I-136,69,48
18-OBR-YTBW-B5I-1360,46,39
18-OBR-YTBW-B5I-137,74,57
18-OBR-YTBW-B5I-138,44,39
18-OBR-YTBW-B5I-139,56,51
18-OBR-YTBW-B5I-140,56,46
18-OBR-YTBW-B5I-1401,56,41
18-OBR-YTBW-B5I-1402,54,37
18-OBR-YTBW-B5I-1403,66,40
18-OBR-YTBW-B5I-1404,68,47
18-OBR-YTBW-B5I-1405,74,46
18-OBR-YTBW-B5I-1406,73,52
18-OBR-YTBW-B5I-1407,63,48
18-OBR-YTBW-B5I-1408,69,36
18-OBR-YTBW-B5I-1409,52,35
18-OBR-YTBW-B5I-141,82,63
18-OBR-YTBW-B5I-1410,62,42
18-OBR-YTBW-B5I-1411,69,50
18-OBR-YTBW-B5I-1412,68,44
18-OBR-YTBW-B5I-1413,70,48
18-OBR-YTBW-B5I-1414,62,48
18-OBR-YTBW-B5I-1415,66,48
18-OBR-YTBW-B5I-1416,44,35
18-OBR-YTBW-B5I-1417,60,42
18-OBR-YTBW-B5I-1418,66,51
18-OBR-YTBW-B5I-1419,65,47
18-OBR-YTBW-B5I-142,79,64
18-OBR-YTBW-B5I-1420,76,47
18-OBR-YTBW-B5I-1421,72,47
18-OBR-YTBW-B5I-1422,86,65
18-OBR-YTBW-B5I-1423,58,42
18-OBR-YTBW-B5I-1424,63,43
18-OBR-YTBW-B5I-1425,83,62
18-OBR-YTBW-B5I-1426,86,56
18-OBR-YTBW-B5I-1427,67,50
18-OBR-YTBW-B5I-1428,62,46
18-OBR-YTBW-B5I-1429,50,41
18-OBR-YTBW-B5I-143,73,55
18-OBR-YTBW-B5I-1430,48,41
18-OBR-YTBW-B5I-1431,55,47
18-OBR-YTBW-B5I-1432,58,44
18-OBR-YTBW-B5I-1433,51,38
18-OBR-YTBW-B5I-1434,66,43
18-OBR-YTBW-B5I-1435,53,43
18-OBR-YTBW-B5I-1436,65,50
18-OBR-YTBW-B5I-1437,51,42
18-OBR-YTBW-B5I-1438,71,49
18-OBR-YTBW-B5I-1439,56,46
18-OBR-YTBW-B5I-144,71,50
18-OBR-YTBW-B5I-1440,60,40
18-OBR-YTBW-B5I-1441,60,44
18-OBR-YTBW-B5I-1442,63,43
18-OBR-YTBW-B5I-1443,65,48
18-OBR-YTBW-B5I-1444,41,37
18-OBR-YTBW-B5I-1445,61,45
18-OBR-YTBW-B5I-1446,49,34
18-OBR-YTBW-B5I-1447,50,41
18-OBR-YTBW-B5I-1448,62,47
18-OBR-YTBW-B5I-1449,70,47
18-OBR-YTBW-B5I-145,96,68
18-OBR-YTBW-B5I-1450,56,43
18-OBR-YTBW-B5I-1451,79,60
18-OBR-YTBW-B5I-1452,61,43
18-OBR-YTBW-B5I-1453,84,66
18-OBR-YTBW-B5I-1454,59,44
18-OBR-YTBW-B5I-1455,56,44
18-OBR-YTBW-B5I-1456,62,47
18-OBR-YTBW-B5I-1457,66,44
18-OBR-YTBW-B5I-1458,61,47
18-OBR-YTBW-B5I-1459,64,51
18-OBR-YTBW-B5I-146,67,52
18-OBR-YTBW-B5I-1460,68,49
18-OBR-YTBW-B5I-147,66,53
18-OBR-YTBW-B5I-148,77,57
18-OBR-YTBW-B5I-149,80,62
18-OBR-YTBW-B5I-150,68,47
18-OBR-YTBW-B5I-1501,66,51
18-OBR-YTBW-B5I-1502,53,38
18-OBR-YTBW-B5I-1503,51,39
18-OBR-YTBW-B5I-1504,70,38
18-OBR-YTBW-B5I-1505,45,36
18-OBR-YTBW-B5I-1506,63,48
18-OBR-YTBW-B5I-1507,54,44
18-OBR-YTBW-B5I-1508,79,47
18-OBR-YTBW-B5I-1509,86,48
18-OBR-YTBW-B5I-151,84,57
18-OBR-YTBW-B5I-1510,80,51
18-OBR-YTBW-B5I-1511,77,51
18-OBR-YTBW-B5I-1512,70,49
18-OBR-YTBW-B5I-1513,56,40
18-OBR-YTBW-B5I-1514,56,45
18-OBR-YTBW-B5I-1515,58,46
18-OBR-YTBW-B5I-1516,46,38
18-OBR-YTBW-B5I-1517,45,45
18-OBR-YTBW-B5I-1518,71,47
18-OBR-YTBW-B5I-1519,86,52
18-OBR-YTBW-B5I-152,58,42
18-OBR-YTBW-B5I-1520,91,57
18-OBR-YTBW-B5I-1521,75,52
18-OBR-YTBW-B5I-1522,69,43
18-OBR-YTBW-B5I-1523,89,48
18-OBR-YTBW-B5I-1524,79,57
18-OBR-YTBW-B5I-1525,89,55
18-OBR-YTBW-B5I-1526,87,52
18-OBR-YTBW-B5I-1527,71,47
18-OBR-YTBW-B5I-1528,74,52
18-OBR-YTBW-B5I-1529,64,48
18-OBR-YTBW-B5I-153,80,53
18-OBR-YTBW-B5I-1530,53,46
18-OBR-YTBW-B5I-1531,75,48
18-OBR-YTBW-B5I-1532,91,54
18-OBR-YTBW-B5I-1533,63,37
18-OBR-YTBW-B5I-1534,65,44
18-OBR-YTBW-B5I-1535,56,45
18-OBR-YTBW-B5I-1536,45,42
18-OBR-YTBW-B5I-1537,69,51
18-OBR-YTBW-B5I-1538,72,53
18-OBR-YTBW-B5I-1539,68,42
18-OBR-YTBW-B5I-154,67,47
18-OBR-YTBW-B5I-1540,42,33
18-OBR-YTBW-B5I-1541,51,48
18-OBR-YTBW-B5I-1542,60,54
18-OBR-YTBW-B5I-1543,62,46
18-OBR-YTBW-B5I-1544,38,38
18-OBR-YTBW-B5I-1545,72,50
18-OBR-YTBW-B5I-1546,69,45
18-OBR-YTBW-B5I-1547,76,46
18-OBR-YTBW-B5I-1548,65,45
18-OBR-YTBW-B5I-1549,61,48
18-OBR-YTBW-B5I-155,66,45
18-OBR-YTBW-B5I-1550,68,48
18-OBR-YTBW-B5I-1551,62,38
18-OBR-YTBW-B5I-1552,91,55
18-OBR-YTBW-B5I-1553,85,54
18-OBR-YTBW-B5I-1554,50,43
18-OBR-YTBW-B5I-1555,78,51
18-OBR-YTBW-B5I-1556,69,48
18-OBR-YTBW-B5I-1557,56,43
18-OBR-YTBW-B5I-1558,78,51
18-OBR-YTBW-B5I-1559,76,53
18-OBR-YTBW-B5I-156,59,44
18-OBR-YTBW-B5I-1560,78,54
18-OBR-YTBW-B5I-157,65,46
18-OBR-YTBW-B5I-158,65,44
18-OBR-YTBW-B5I-159,78,51
18-OBR-YTBW-B5I-160,76,52
18-OBR-YTBW-B5I-1601,61,48
18-OBR-YTBW-B5I-1602,48,41
18-OBR-YTBW-B5I-1603,66,43
18-OBR-YTBW-B5I-1604,55,36
18-OBR-YTBW-B5I-1605,52,41
18-OBR-YTBW-B5I-1606,67,49
18-OBR-YTBW-B5I-1607,67,46
18-OBR-YTBW-B5I-1608,74,47
18-OBR-YTBW-B5I-1609,55,47
18-OBR-YTBW-B5I-1610,66,48
18-OBR-YTBW-B5I-1611,64,45
18-OBR-YTBW-B5I-1612,68,49
18-OBR-YTBW-B5I-1613,70,47
18-OBR-YTBW-B5I-1614,42,38
18-OBR-YTBW-B5I-1615,48,44
18-OBR-YTBW-B5I-1616,57,40
18-OBR-YTBW-B5I-1617,49,40
18-OBR-YTBW-B5I-1618,55,45
18-OBR-YTBW-B5I-1619,51,40
18-OBR-YTBW-B5I-1620,55,44
18-OBR-YTBW-B5I-1621,62,40
18-OBR-YTBW-B5I-1622,58,40
18-OBR-YTBW-B5I-1623,70,53
18-OBR-YTBW-B5I-1624,58,44
18-OBR-YTBW-B5I-1625,50,44
18-OBR-YTBW-B5I-1626,63,49
18-OBR-YTBW-B5I-1627,51,36
18-OBR-YTBW-B5I-1628,45,37
18-OBR-YTBW-B5I-1629,49,47
18-OBR-YTBW-B5I-1630,55,47
18-OBR-YTBW-B5I-1631,46,41
18-OBR-YTBW-B5I-1632,55,43
18-OBR-YTBW-B5I-1633,50,37
18-OBR-YTBW-B5I-1634,50,48
18-OBR-YTBW-B5I-1635,60,47
18-OBR-YTBW-B5I-1636,46,45
18-OBR-YTBW-B5I-1637,61,53
18-OBR-YTBW-B5I-1638,70,51
18-OBR-YTBW-B5I-1639,58,41
18-OBR-YTBW-B5I-1640,58,40
18-OBR-YTBW-B5I-1641,54,45
18-OBR-YTBW-B5I-1642,45,43
18-OBR-YTBW-B5I-1643,58,42
18-OBR-YTBW-B5I-1644,50,40
18-OBR-YTBW-B5I-1645,59,42
18-OBR-YTBW-B5I-1646,45,34
