Plot_ID,Median,Mode
18-OBR-YTBW-B5I-1001,32,33
18-OBR-YTBW-B5I-1002,32,33
18-OBR-YTBW-B5I-1003,33,30
18-OBR-YTBW-B5I-1004,30,33
18-OBR-YTBW-B5I-1005,32,34
18-OBR-YTBW-B5I-1006,31,32
18-OBR-YTBW-B5I-1007,34,33
18-OBR-YTBW-B5I-1008,36,36
18-OBR-YTBW-B5I-1009,40,42
18-OBR-YTBW-B5I-101,43,42
18-OBR-YTBW-B5I-1010,42,40
18-OBR-YTBW-B5I-1011,41,39
18-OBR-YTBW-B5I-1012,52,46
18-OBR-YTBW-B5I-1013,51,46
18-OBR-YTBW-B5I-1014,54,51
18-OBR-YTBW-B5I-1015,52,52
18-OBR-YTBW-B5I-1016,45,43
18-OBR-YTBW-B5I-1017,47,43
18-OBR-YTBW-B5I-1018,40,37
18-OBR-YTBW-B5I-1019,37,34
18-OBR-YTBW-B5I-102,42,40
18-OBR-YTBW-B5I-1020,37,34
18-OBR-YTBW-B5I-1021,36,37
18-OBR-YTBW-B5I-1022,35,36
18-OBR-YTBW-B5I-1023,31,31
18-OBR-YTBW-B5I-1024,30,30
18-OBR-YTBW-B5I-1025,27,26
18-OBR-YTBW-B5I-1026,27,27
18-OBR-YTBW-B5I-1027,29,27
18-OBR-YTBW-B5I-1028,30,28
18-OBR-YTBW-B5I-1029,29,30
18-OBR-YTBW-B5I-103,42,41
18-OBR-YTBW-B5I-1030,30,31
18-OBR-YTBW-B5I-1031,28,28
18-OBR-YTBW-B5I-1032,30,31
18-OBR-YTBW-B5I-1033,28,29
18-OBR-YTBW-B5I-1034,30,31
18-OBR-YTBW-B5I-1035,29,29
18-OBR-YTBW-B5I-1036,29,28
18-OBR-YTBW-B5I-1037,28,28
18-OBR-YTBW-B5I-1038,31,33
18-OBR-YTBW-B5I-1039,32,33
18-OBR-YTBW-B5I-104,42,42
18-OBR-YTBW-B5I-1040,36,36
18-OBR-YTBW-B5I-1041,40,36
18-OBR-YTBW-B5I-1042,48,39
18-OBR-YTBW-B5I-1043,40,37
18-OBR-YTBW-B5I-1044,42,39
18-OBR-YTBW-B5I-1045,43,41
18-OBR-YTBW-B5I-1046,42,37
18-OBR-YTBW-B5I-1047,42,37
18-OBR-YTBW-B5I-1048,39,36
18-OBR-YTBW-B5I-1049,40,38
18-OBR-YTBW-B5I-105,45,44
18-OBR-YTBW-B5I-1050,37,36
18-OBR-YTBW-B5I-1051,34,33
18-OBR-YTBW-B5I-1052,33,32
18-OBR-YTBW-B5I-1053,30,31
18-OBR-YTBW-B5I-1054,29,27
18-OBR-YTBW-B5I-1055,29,29
18-OBR-YTBW-B5I-1056,28,28
18-OBR-YTBW-B5I-1057,28,27
18-OBR-YTBW-B5I-1058,28,29
18-OBR-YTBW-B5I-1059,28,29
18-OBR-YTBW-B5I-106,38,38
18-OBR-YTBW-B5I-1060,27,28
18-OBR-YTBW-B5I-107,46,44
18-OBR-YTBW-B5I-108,43,41
18-OBR-YTBW-B5I-109,50,48
18-OBR-YTBW-B5I-110,47,45
18-OBR-YTBW-B5I-1101,27,27
18-OBR-YTBW-B5I-1102,27,27
18-OBR-YTBW-B5I-1103,27,26
18-OBR-YTBW-B5I-1104,28,28
18-OBR-YTBW-B5I-1105,26,28
18-OBR-YTBW-B5I-1106,26,26
18-OBR-YTBW-B5I-1107,27,26
18-OBR-YTBW-B5I-1108,29,29
18-OBR-YTBW-B5I-1109,31,31
18-OBR-YTBW-B5I-111,44,44
18-OBR-YTBW-B5I-1110,34,34
18-OBR-YTBW-B5I-1111,34,32
18-OBR-YTBW-B5I-1112,38,34
18-OBR-YTBW-B5I-1113,37,35
18-OBR-YTBW-B5I-1114,39,36
18-OBR-YTBW-B5I-1115,41,40
18-OBR-YTBW-B5I-1116,38,35
18-OBR-YTBW-B5I-1117,36,33
18-OBR-YTBW-B5I-1118,38,38
18-OBR-YTBW-B5I-1119,33,29
18-OBR-YTBW-B5I-112,52,52
18-OBR-YTBW-B5I-1120,32,29
18-OBR-YTBW-B5I-1121,31,29
18-OBR-YTBW-B5I-1122,30,28
18-OBR-YTBW-B5I-1123,28,28
18-OBR-YTBW-B5I-1124,25,24
18-OBR-YTBW-B5I-1125,24,24
18-OBR-YTBW-B5I-1126,26,27
18-OBR-YTBW-B5I-1127,27,27
18-OBR-YTBW-B5I-1128,26,25
18-OBR-YTBW-B5I-1129,25,25
18-OBR-YTBW-B5I-113,51,49
18-OBR-YTBW-B5I-1130,27,26
18-OBR-YTBW-B5I-1131,25,26
