plot_id,trial,plot_no,seed_source,year,location,cycle,conditions,rep,block,subblock,col,row,entry,purpose,gid,tid,occ,site,planting_date,iyear,ilocation,itrial,icondition
18-OBR-YTBW-B5I-2337,YTBW_23,2337,,2018,Obregon,Y17-18,B5IR,2,,2,37,19,2323,,8235762,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2338,YTBW_23,2338,,2018,Obregon,Y17-18,B5IR,2,,2,38,19,2306,,8235738,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2339,YTBW_23,2339,,2018,Obregon,Y17-18,B5IR,2,,2,39,19,2328,,8235770,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-234,YTBW_02,234,,2018,Obregon,Y17-18,B5IR,2,,1,4,31,215,,8234907,46407,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2340,YTBW_23,2340,,2018,Obregon,Y17-18,B5IR,2,,2,40,19,2305,,8235737,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2341,YTBW_23,2341,,2018,Obregon,Y17-18,B5IR,2,,3,41,19,2313,,8235747,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2342,YTBW_23,2342,,2018,Obregon,Y17-18,B5IR,2,,3,42,19,2314,,8235748,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2343,YTBW_23,2343,,2018,Obregon,Y17-18,B5IR,2,,3,43,19,2321,,8235760,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2344,YTBW_23,2344,,2018,Obregon,Y17-18,B5IR,2,,3,44,19,2316,,8235754,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2345,YTBW_23,2345,,2018,Obregon,Y17-18,B5IR,2,,3,45,19,2326,,8235768,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2346,YTBW_23,2346,,2018,Obregon,Y17-18,B5IR,2,,4,45,18,2304,,8235736,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2347,YTBW_23,2347,,2018,Obregon,Y17-18,B5IR,2,,4,44,18,2319,,8235758,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2348,YTBW_23,2348,,2018,Obregon,Y17-18,B5IR,2,,4,43,18,2301,,7806808,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2349,YTBW_23,2349,,2018,Obregon,Y17-18,B5IR,2,,4,42,18,2307,,8235739,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-235,YTBW_02,235,,2018,Obregon,Y17-18,B5IR,2,,1,5,31,212,,8234904,46407,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2350,YTBW_23,2350,,2018,Obregon,Y17-18,B5IR,2,,4,41,18,2329,,8235771,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2351,YTBW_23,2351,,2018,Obregon,Y17-18,B5IR,2,,5,40,18,2322,,8235761,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2352,YTBW_23,2352,,2018,Obregon,Y17-18,B5IR,2,,5,39,18,2320,,8235759,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2353,YTBW_23,2353,,2018,Obregon,Y17-18,B5IR,2,,5,38,18,2325,,8235765,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2354,YTBW_23,2354,,2018,Obregon,Y17-18,B5IR,2,,5,37,18,2303,,8235735,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2355,YTBW_23,2355,,2018,Obregon,Y17-18,B5IR,2,,5,36,18,2309,,8235741,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2356,YTBW_23,2356,,2018,Obregon,Y17-18,B5IR,2,,6,35,18,2311,,8235743,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2357,YTBW_23,2357,,2018,Obregon,Y17-18,B5IR,2,,6,34,18,2330,,8235772,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2358,YTBW_23,2358,,2018,Obregon,Y17-18,B5IR,2,,6,33,18,2308,,8235740,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2359,YTBW_23,2359,,2018,Obregon,Y17-18,B5IR,2,,6,32,18,2324,,8235763,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-236,YTBW_02,236,,2018,Obregon,Y17-18,B5IR,2,,2,6,31,217,,8234909,46407,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2360,YTBW_23,2360,,2018,Obregon,Y17-18,B5IR,2,,6,31,18,2318,,8235756,46428,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-237,YTBW_02,237,,2018,Obregon,Y17-18,B5IR,2,,2,7,31,223,,8234916,46407,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-238,YTBW_02,238,,2018,Obregon,Y17-18,B5IR,2,,2,8,31,206,,8234897,46407,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-239,YTBW_02,239,,2018,Obregon,Y17-18,B5IR,2,,2,9,31,228,,8234925,46407,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-240,YTBW_02,240,,2018,Obregon,Y17-18,B5IR,2,,2,10,31,205,,8234896,46407,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2401,YTBW_24,2401,,2018,Obregon,Y17-18,B5IR,1,,1,31,17,2401,,7806808,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2402,YTBW_24,2402,,2018,Obregon,Y17-18,B5IR,1,,1,32,17,2402,,4755014,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2403,YTBW_24,2403,,2018,Obregon,Y17-18,B5IR,1,,1,33,17,2403,,8235773,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2404,YTBW_24,2404,,2018,Obregon,Y17-18,B5IR,1,,1,34,17,2404,,8235774,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2405,YTBW_24,2405,,2018,Obregon,Y17-18,B5IR,1,,1,35,17,2405,,8235775,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2406,YTBW_24,2406,,2018,Obregon,Y17-18,B5IR,1,,2,36,17,2406,,8235776,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2407,YTBW_24,2407,,2018,Obregon,Y17-18,B5IR,1,,2,37,17,2407,,8235777,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2408,YTBW_24,2408,,2018,Obregon,Y17-18,B5IR,1,,2,38,17,2408,,8235778,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2409,YTBW_24,2409,,2018,Obregon,Y17-18,B5IR,1,,2,39,17,2409,,8235779,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-241,YTBW_02,241,,2018,Obregon,Y17-18,B5IR,2,,3,11,31,213,,8234905,46407,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2410,YTBW_24,2410,,2018,Obregon,Y17-18,B5IR,1,,2,40,17,2410,,8235780,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2411,YTBW_24,2411,,2018,Obregon,Y17-18,B5IR,1,,3,41,17,2411,,8235781,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2412,YTBW_24,2412,,2018,Obregon,Y17-18,B5IR,1,,3,42,17,2412,,8235782,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2413,YTBW_24,2413,,2018,Obregon,Y17-18,B5IR,1,,3,43,17,2413,,8235783,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2414,YTBW_24,2414,,2018,Obregon,Y17-18,B5IR,1,,3,44,17,2414,,8235784,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2415,YTBW_24,2415,,2018,Obregon,Y17-18,B5IR,1,,3,45,17,2415,,8235786,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2416,YTBW_24,2416,,2018,Obregon,Y17-18,B5IR,1,,4,45,16,2416,,8235787,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2417,YTBW_24,2417,,2018,Obregon,Y17-18,B5IR,1,,4,44,16,2417,,8235788,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2418,YTBW_24,2418,,2018,Obregon,Y17-18,B5IR,1,,4,43,16,2418,,8235789,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2419,YTBW_24,2419,,2018,Obregon,Y17-18,B5IR,1,,4,42,16,2419,,8235790,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-242,YTBW_02,242,,2018,Obregon,Y17-18,B5IR,2,,3,12,31,214,,8234906,46407,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2420,YTBW_24,2420,,2018,Obregon,Y17-18,B5IR,1,,4,41,16,2420,,8235791,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2421,YTBW_24,2421,,2018,Obregon,Y17-18,B5IR,1,,5,40,16,2421,,8235792,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2422,YTBW_24,2422,,2018,Obregon,Y17-18,B5IR,1,,5,39,16,2422,,8235793,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2423,YTBW_24,2423,,2018,Obregon,Y17-18,B5IR,1,,5,38,16,2423,,8235794,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2424,YTBW_24,2424,,2018,Obregon,Y17-18,B5IR,1,,5,37,16,2424,,8235795,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2425,YTBW_24,2425,,2018,Obregon,Y17-18,B5IR,1,,5,36,16,2425,,8235796,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2426,YTBW_24,2426,,2018,Obregon,Y17-18,B5IR,1,,6,35,16,2426,,8235797,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2427,YTBW_24,2427,,2018,Obregon,Y17-18,B5IR,1,,6,34,16,2427,,8235798,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2428,YTBW_24,2428,,2018,Obregon,Y17-18,B5IR,1,,6,33,16,2428,,8235799,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2429,YTBW_24,2429,,2018,Obregon,Y17-18,B5IR,1,,6,32,16,2429,,8235800,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-243,YTBW_02,243,,2018,Obregon,Y17-18,B5IR,2,,3,13,31,221,,8234914,46407,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2430,YTBW_24,2430,,2018,Obregon,Y17-18,B5IR,1,,6,31,16,2430,,8235801,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2431,YTBW_24,2431,,2018,Obregon,Y17-18,B5IR,2,,1,31,15,2427,,8235798,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2432,YTBW_24,2432,,2018,Obregon,Y17-18,B5IR,2,,1,32,15,2410,,8235780,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2433,YTBW_24,2433,,2018,Obregon,Y17-18,B5IR,2,,1,33,15,2402,,4755014,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2434,YTBW_24,2434,,2018,Obregon,Y17-18,B5IR,2,,1,34,15,2415,,8235786,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2435,YTBW_24,2435,,2018,Obregon,Y17-18,B5IR,2,,1,35,15,2412,,8235782,46429,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
