Plot_ID,Mean,Mode
18BYD20213,0.532,0.648
18BYD20214,0.571,0.627
18BYD20215,0.62,0.668
18BYD20216,0.536,0.662
18BYD20217,0.561,0.665
18BYD20218,0.577,0.66
18BYD20219,0.634,0.667
18BYD20220,0.597,0.669
18BYD20221,0.556,0.672
18BYD20222,0.609,0.673
18BYD20223,0.563,0.656
18BYD20224,0.559,0.662
18BYD20225,0.627,0.664
18BYD20226,0.593,0.657
18BYD20227,0.598,0.677
18BYD20228,0.588,0.692
18BYD20229,0.563,0.665
18BYD20230,0.594,0.673
18BYD20231,0.574,0.667
18BYD20232,0.615,0.673
18BYD20233,0.554,0.675
18BYD20234,0.567,0.67
18BYD20235,0.62,0.672
18BYD20236,0.598,0.667
18BYD20237,0.59,0.68
18BYD20238,0.588,0.665
18BYD20239,0.612,0.671
18BYD20240,0.615,0.665
18BYD20241,0.551,0.648
18BYD20242,0.576,0.678
18BYD20243,0.612,0.656
18BYD20244,0.581,0.658
18BYD20245,0.603,0.691
18BYD20246,0.598,0.676
18BYD20247,0.576,0.663
18BYD20248,0.611,0.672
18BYD20249,0.622,0.684
18BYD20250,0.6,0.684
18BYD20251,0.592,0.677
18BYD20252,0.607,0.683
18BYD20253,0.597,0.653
18BYD20254,0.63,0.679
18BYD20255,0.564,0.672
18BYD20256,0.612,0.675
18BYD20257,0.577,0.654
18BYD20258,0.523,0.666
18BYD20259,0.503,0.651
18BYD20260,0.578,0.645
18BYD20261,0.57,0.645
18BYD20262,0.564,0.646
18BYD20263,0.593,0.651
18BYD20264,0.609,0.67
18BYD20265,0.575,0.684
18BYD20266,0.6,0.669
18BYD20267,0.608,0.673
18BYD20268,0.63,0.681
18BYD20269,0.627,0.675
18BYD20270,0.549,0.656
18BYD20271,0.561,0.663
18BYD20272,0.585,0.671
18BYD20273,0.553,0.657
18BYD20274,0.573,0.677
18BYD20275,0.503,0.659
18BYD20276,0.568,0.649
18BYD20277,0.589,0.668
18BYD20278,0.558,0.655
18BYD20279,0.586,0.656
18BYD20280,0.581,0.647
18BYD20281,0.58,0.648
18BYD20282,0.597,0.654
18BYD20283,0.591,0.653
18BYD20284,0.566,0.661
18BYD20285,0.592,0.675
18BYD20286,0.621,0.689
18BYD20287,0.61,0.675
18BYD20288,0.568,0.665
18BYD20289,0.537,0.643
18BYD20290,0.586,0.652
18BYD20291,0.558,0.664
18BYD20292,0.529,0.641
18BYD20293,0.548,0.657
18BYD20294,0.624,0.674
18BYD20295,0.569,0.66
18BYD20296,0.632,0.686
18BYD20297,0.598,0.648
18BYD20298,0.513,0.632
18BYD20299,0.528,0.676
18BYD20300,0.566,0.661
18BYD20301,0.552,0.663
18BYD20302,0.502,0.629
18BYD20303,0.563,0.658
18BYD20304,0.527,0.651
18BYD20305,0.548,0.664
18BYD20306,0.565,0.661
18BYD20307,0.601,0.698
18BYD20308,0.599,0.68
18BYD20309,0.574,0.674
18BYD20310,0.539,0.643
18BYD20311,0.578,0.631
18BYD20312,0.57,0.656
18BYD20313,0.561,0.666
18BYD20314,0.623,0.663
18BYD20315,0.637,0.668
18BYD20316,0.503,0.636
18BYD20317,0.545,0.652
18BYD20318,0.536,0.654
18BYD20319,0.582,0.668
18BYD20320,0.525,0.66
18BYD20321,0.513,0.669
18BYD20322,0.557,0.654
18BYD20323,0.515,0.657
18BYD20324,0.518,0.661
18BYD20325,0.46,0.616
18BYD20326,0.498,0.634
18BYD20327,0.603,0.657
18BYD20328,0.509,0.635
18BYD20329,0.528,0.622
18BYD20330,0.538,0.662
